eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 14/10/2014 12:04:19
#Cmp ( ordine = Riferimento )
| C1         100n        ; ~           ;             
| C2         100n        ; ~           ;             
| C3         15p         ; ~           ;             
| C4         15p         ; ~           ;             
| C5         1u          ; ~           ;             
| C6         100n        ; ~           ;             
| C7         100nF       ; ~           ;             
| C8         100u        ; ~           ;             
| C9         4.7uF       ; ~           ;             
| C10        100nF       ; ~           ;             
| C11        47pF        ; ~           ;             
| C12        47pF        ; ~           ;             
| C13        1u          ; ~           ;             
| C14        10nF        ; ~           ;             
| C15        100u        ; ~           ;             
| CON1       USB-MICRO-B ;             ;             
| D1         ZHCS2000    ; ~           ;             
| D2         RED_LED     ; ~           ;             
| D3         1N6479      ; ~           ;             
| D4         1N6479      ; ~           ;             
| D5         1N6479      ; ~           ;             
| D6         1N6479      ; ~           ;             
| IC1        ATMEGA328P-P; DIL28       ;             
| JP1        JUMPER      ; ~           ;             
| K1         RELAY_TX2-LT-3; ~           ;             
| K2         RELAY_TX2-LT-3; ~           ;             
| L1         10uH        ; ~           ;             
| L2         BLM18PG471SN1; ~           ;             
| P1         BATTERY     ;             ;             
| P2         RADIO       ;             ;             
| P3         ICSP        ;             ;             
| P4         AUX         ;             ;             
| P5         BATT        ;             ;             
| P6         3V3         ;             ;             
| P7         GND         ;             ;             
| P8         RELAY       ;             ;             
| Q1         BCW33       ; SOT23       ;             
| Q2         BCW33       ; SOT23       ;             
| Q3         BCW33       ; SOT23       ;             
| Q4         BCW33       ; SOT23       ;             
| R1         4.7K        ; ~           ;             
| R2         27R         ; ~           ;             
| R3         27R         ; ~           ;             
| R4         10R         ; ~           ;             
| R5         4.7K        ; ~           ;             
| R6         4.7K        ; ~           ;             
| R7         120         ; ~           ;             
| R8         750         ; ~           ;             
| R9         750         ; ~           ;             
| R10        750         ; ~           ;             
| R11        750         ; ~           ;             
| U1         IRF7404     ;             ;             
| U2         DS18B20     ; ~           ;             
| U3         24FC1025    ; ~           ;             
| U4         SP6641B     ; SOT-23      ;             
| U5         FT231XS     ; ~           ;             
| X1         16MHz       ; ~           ;             
#End Cmp

#Cmp ( ordine = Valore )
| 15p          C3        ; ~           ;             
| 15p          C4        ; ~           ;             
| 47pF         C11       ; ~           ;             
| 47pF         C12       ; ~           ;             
| 10nF         C14       ; ~           ;             
| 100n         C1        ; ~           ;             
| 100n         C2        ; ~           ;             
| 100n         C6        ; ~           ;             
| 100nF        C7        ; ~           ;             
| 100nF        C10       ; ~           ;             
| 1u           C5        ; ~           ;             
| 1u           C13       ; ~           ;             
| 4.7uF        C9        ; ~           ;             
| 100u         C8        ; ~           ;             
| 100u         C15       ; ~           ;             
| USB-MICRO-B  CON1      ;             ;             
| ZHCS2000     D1        ; ~           ;             
| RED_LED      D2        ; ~           ;             
| 1N6479       D3        ; ~           ;             
| 1N6479       D4        ; ~           ;             
| 1N6479       D5        ; ~           ;             
| 1N6479       D6        ; ~           ;             
| ATMEGA328P-P IC1       ; DIL28       ;             
| JUMPER       JP1       ; ~           ;             
| RELAY_TX2-LT-3 K1        ; ~           ;             
| RELAY_TX2-LT-3 K2        ; ~           ;             
| 10uH         L1        ; ~           ;             
| BLM18PG471SN1 L2        ; ~           ;             
| BATTERY      P1        ;             ;             
| RADIO        P2        ;             ;             
| ICSP         P3        ;             ;             
| AUX          P4        ;             ;             
| BATT         P5        ;             ;             
| 3V3          P6        ;             ;             
| GND          P7        ;             ;             
| RELAY        P8        ;             ;             
| BCW33        Q1        ; SOT23       ;             
| BCW33        Q2        ; SOT23       ;             
| BCW33        Q3        ; SOT23       ;             
| BCW33        Q4        ; SOT23       ;             
| 10R          R4        ; ~           ;             
| 27R          R2        ; ~           ;             
| 27R          R3        ; ~           ;             
| 120          R7        ; ~           ;             
| 750          R8        ; ~           ;             
| 750          R9        ; ~           ;             
| 750          R10       ; ~           ;             
| 750          R11       ; ~           ;             
| 4.7K         R1        ; ~           ;             
| 4.7K         R5        ; ~           ;             
| 4.7K         R6        ; ~           ;             
| IRF7404      U1        ;             ;             
| SP6641B      U4        ; SOT-23      ;             
| DS18B20      U2        ; ~           ;             
| 24FC1025     U3        ; ~           ;             
| FT231XS      U5        ; ~           ;             
| 16MHz        X1        ; ~           ;             
#Fine Cmp

#Fine Lista
